201301,106.61,108.77,629.0877439,108.85,103.73,103.92,88.72
201302,106.3,108.25,628.6982133,108.72,103.1,104.64,88.56
201303,106.76,108.21,626.9310373,108.5,103.59,104.84,88.33
201304,106.51,108.56,632.7413816,109.11,103.91,104.62,87.74
201305,107.59,109.64,632.4011151,109.24,104.64,120.84,105.44
201306,108.23,109.77,632.3282043,109.79,104.82,121.36,105.55
201307,107.97,109.75,626.584626,110.23,105.34,121.01,105.76
201308,107.52,109.19,625.4103165,109.79,104.96,121.59,106.37
201309,107.04,107.89,624.7619991,110.39,101.25,91.42,106.31
201310,106.93,108.03,622.5471647,110.28,100.6,91.18,106.39
201311,106.24,107.69,627.2349559,109.59,101.02,90.92,107.2
201312,106.46,107.72,628.9498847,110.31,101.55,90.58,106.21
201313,105.53,106.57,628.3514931,108.54,98.35,108.04,102.96
201314,105.83,106.37,626.8092486,108.54,98.22,108.35,103.66
201315,105.56,107.35,622.9318823,108.46,98.43,108.07,103.01
201316,106.16,106.78,622.6425506,108.55,97.83,107.86,103.47
201317,104.82,106.33,619.0780148,109.19,96.43,101.23,107.74
201318,104.71,106.07,621.1638721,108.59,95.93,101.35,107.97
201319,105.05,105.27,619.2514832,108.53,96.65,100.9,107.93
201320,104.63,105.43,624.0840303,108.51,96.54,101.76,107.92
201321,105.16,100.91,615.7865055,109.57,97.61,118.19,122.81
201322,104.49,100.77,619.0573927,108.58,98.15,118.35,122.73
201323,104.31,100.83,612.3542467,109.22,97.22,118.77,122.87
201324,104.82,101.29,621.3154598,109,98.09,118.67,122.6
201325,103.76,104.04,619.8315354,108.73,100.12,121.26,111.51
201326,104.26,104.93,616.9004078,108.62,99.25,120.99,111.2
201327,103.71,105.03,616.6201755,108.39,99.18,121.17,111.66
201328,104.76,104.86,619.6654842,109.46,99.1,120.88,110.54
201329,104.91,106.03,613.3789994,107.63,100.83,91.29,105.21
201330,104.8,106.06,621.1652567,107.9,101.23,91.12,105.74
201331,104.46,105.7,620.7035453,107.82,100.59,90.84,105.73
201332,105.27,105.16,615.8462022,107.78,101.23,90.73,104.99
201333,104.8,105.6,619.2814733,106.96,104.69,115.66,115.88
201334,104,105.68,618.3116177,106.45,103.84,115.4,115.96
201335,104.33,106.09,619.9870598,106.91,104.53,115.62,115.25
201336,104.49,106.25,611.3508398,106.79,103.81,114.95,115.36
201337,104.75,104.19,615.7994415,106.95,105.65,145.76,104.45
201338,105.14,104.11,615.7040864,105.9,105.16,146.06,104.29
201339,105.7,104.04,616.0404331,106.74,105.65,146.26,104.95
201340,104.93,103.75,618.0256516,106.3,105.25,145.85,104.38
201341,105.09,106.03,617.4863136,106.44,106.21,124.26,111.05
201342,104.83,105.63,614.349274,106.35,106.2,124.99,110.82
201343,104.93,106,614.421965,106.44,106.94,124.96,110.08
201344,104.54,106.54,617.7031793,106.41,106.55,124.96,110.37
201345,103.72,106.53,612.4899465,105.33,104.05,90.22,120.39
201346,104.35,106.46,615.5015871,105.56,103.92,90.47,121.17
201347,103.7,106.46,608.9137309,106.39,104,90.75,120.93
201348,104.08,106.37,607.7986925,106.24,104.22,90.58,120.4
201401,103.27,103.62,614.5514323,102.24,103.39,92.11,128.53
201402,103.62,104.02,606.6949164,102.86,103.88,91.61,128.31
201403,103.1,103.61,607.4369568,103.08,103.85,92.29,128.83
201404,103.22,103.63,607.5315481,102.48,103.29,92.35,128.89
201405,102.38,102.83,613.9553447,101.08,104.86,95.73,121.98
201406,102.87,102.88,608.278102,101.17,104.52,96.08,121.24
201407,101.86,103.49,610.9643875,102.03,104.47,95.77,120.97
201408,102.35,103.71,612.9031077,101.95,103.97,95.02,121.21
201409,103.32,103.86,617.1637253,101.42,107.61,111.12,119.49
201410,103.55,103.17,609.3556289,101.02,107.26,110.71,120.26
201411,103.82,103.18,610.2328975,101.42,107.28,111.34,119.67
201412,103.71,102.93,616.0591235,101.41,107.5,110.92,120.11
201413,102.16,103.97,612.9254453,102.41,108.49,87,123.85
201414,103.23,103.61,618.0657693,102.03,107.62,87.06,124.44
201415,102.12,104.4,618.6468643,102.24,108.7,87.39,123.57
201416,103.13,103.53,615.7286814,102.58,107.7,86.96,123.46
201417,104.55,106.42,613.1743984,102.66,109.51,95.16,125.99
201418,104.94,105.57,612.9299867,103.15,109.27,94.79,126.36
201419,105.38,105.4,613.8311603,102.92,109.09,94.87,126.28
201420,105.23,105.67,618.6302977,102.4,109.22,94.55,126.21
201421,107.47,106.91,613.5636963,101.59,108.09,93.42,127.32
201422,108.02,106.49,614.7146846,101.58,108.79,92.95,127.53
201423,107.82,105.96,615.1118201,102.26,108.98,93.2,127.54
201424,107.86,106.1,613.8882786,102.29,108.91,93.47,127.29
201425,109.92,111.89,618.5278946,102.45,106.52,88.99,125.23
201426,110.37,111.55,616.1032195,102.85,106.45,89.6,125.86
201427,110.33,111.63,616.9354084,103.19,107.14,89.36,126.21
201428,110.18,111.96,616.2352343,102.28,106.46,88.99,126.22
201429,114.7,114.08,611.3595248,102.94,105.44,89.04,127.8
201430,114.23,114.36,615.8170633,103.13,105.09,88.82,127.46
201431,114.57,114.51,618.0558383,103.22,105.53,88.81,128.1
201432,114.36,113.83,617.352412,102.54,105.66,89.24,127.77
201433,115.52,113.53,610.7812869,103.49,102.54,88.47,115.62
201434,115.35,113.36,618.4552423,103.43,103.09,88.02,116.05
201435,116.12,112.74,614.6254705,102.89,103.27,88.54,115.93
201436,115.8,113.67,617.9250625,102.58,102.67,88.47,115.66
201437,108.16,108.43,614.1358927,102.68,102.8,87.62,112.26
201438,107.71,107.53,611.4280518,103.26,102.36,87.54,111.18
201439,107.89,108.36,612.5823007,102.47,102.28,88.18,111.76
201440,108.03,108.31,618.8083053,103.11,103.07,88.22,111.19
201441,106.09,107.1,614.8226507,102.74,102.58,90.93,112.32
201442,106.91,107.61,616.0591674,102.7,102.53,90.93,112.71
201443,107.11,106.7,613.9439214,102.33,101.53,91.29,112.74
201444,106.94,107.61,618.707553,102.1,102.34,90.98,112.02
201445,104.07,105.38,612.3491199,102.1,102.2,113.56,107.35
201446,103.18,104.37,615.4519096,101.34,102.17,113.84,107.71
201447,103.07,104.56,608.76853,101.49,101.9,113.48,107.59
201448,103.63,104.53,616.5243179,101.58,102.09,112.84,108.34
201501,103.12,103.4,615.9241979,101.28,99.19,97.23,100.56
201502,102.56,103.26,610.3393825,101.46,100.08,97.27,100.52
201503,103.34,104.18,612.0656755,101.89,99.35,96.26,100.47
201504,102.96,103.48,615.3331079,101.53,99.61,96.37,99.42
201505,101.72,103.77,615.0793059,102.26,100.11,103.92,100.45
201506,101.51,103.6,614.8099334,101.92,100.17,104.4,101.2
201507,101.59,103.64,611.7595698,101.95,100.01,104.39,100.62
201508,102.23,103.84,617.931831,101.75,100.13,103.62,101.11
201509,103.41,106.56,610.2410518,102.47,100.62,97.29,105.73
201510,103.9,107.02,615.69839,101.96,100.81,96.83,104.97
201511,103.67,106.59,614.7609837,102.6,100.9,97.63,104.89
201512,103.5,106.2,615.8858051,101.95,100.76,97.32,104.77
201513,106.11,107.34,617.273314,102.45,99.4,108.51,99.47
201514,105.67,107.78,613.806355,102.18,100.39,107.78,98.5
201515,106.05,106.72,608.7620366,102.38,99.66,108.26,98.76
201516,106.25,107.02,610.6827176,102.71,99.7,108.12,99.27
201517,105.86,107.38,608.124556,101.44,99.02,107.74,93.89
201518,105.21,107.21,613.90838,101.33,99.11,107.31,92.76
201519,105.67,106.44,607.6698113,101.57,98.34,107.36,92.97
201520,105.24,106.87,614.0948058,102.04,98.75,107.44,92.74
201521,104.52,104.55,616.0636289,101.77,99.1,115.72,80.24
201522,104.66,104.92,610.5477301,102.05,98.22,115.87,79.66
201523,105.34,104.43,611.7929076,102.16,99.09,115.35,79.35
201524,104.95,104.86,610.7767947,101.98,98.87,115.84,79.68
201525,103.5,104.22,608.0734962,101.39,99.95,114.64,83.6
201526,103.22,104.42,609.2981215,101.03,100.51,114.65,83.22
201527,103.31,104.51,608.5528572,101.81,100.52,114.18,82.92
201528,102.92,105.15,607.0771004,101.5,100.54,114.73,83.5
201529,101.88,103.81,625.5614647,101.01,101.92,131.86,86.45
201530,101.58,103.36,635.4923545,100.97,101.72,132.7,86.91
201531,102.21,104.14,631.4351997,100.84,102.37,132.07,86.57
201532,102.02,104.06,634.968685,100.92,102.25,131.87,87.32
201533,97.11,96.42,638.3424263,99.22,102.06,119.38,82.26
201534,97.23,96.17,633.6987767,99.47,101.93,119.49,83.29
201535,97.06,96.46,638.5978911,99.45,102.21,119.63,82.47
201536,97.42,96.49,636.3889466,99.49,102.15,119.73,82.39
201537,90.58,87.87,638.9564938,99.96,101.36,97.72,87.75
201538,90.85,87.65,631.4216023,99.7,101.64,97.4,87.05
201539,90.82,88.14,639.3683075,100.73,101.87,97.48,87.65
201540,90.51,87.97,632.5850877,100.24,101.54,97.22,87.52
201541,89.84,89.1,634.7646837,99.8,102.26,115.51,91.69
201542,89.5,89.35,633.7099952,99.84,102.24,115.62,91.72
201543,90.39,89.36,635.9399275,100.26,101.22,115.9,91.55
201544,89.53,89.99,636.8350869,100.09,101.87,115.88,91.42
201545,90.75,92.67,639.8397315,99.9,102.57,116.49,90.82
201546,91.19,93.14,640.9638917,100.52,101.99,116.61,91.37
201547,90.8,93.25,642.9488391,99.81,102.89,116.24,91.35
201548,91.75,92.93,644.2417156,99.98,102.14,117.14,91.04
201601,87.24,86.91,647.8530147,97.59,96.73,116.64,85.66
201602,87.2,87.22,643.4314739,97.69,96.3,116.32,85.7
201603,87.58,87.44,650.2598744,97.64,96.34,116.18,86.44
201604,87.78,87.1,652.1575063,98.34,97.16,116.9,85.54
201605,88.57,89.52,649.9862918,98.32,96.91,99.29,85.15
201606,88.84,90.09,654.8924416,98,97.16,98.96,85.64
201607,88.53,89.38,657.8135781,98.34,97.48,98.42,84.93
201608,88.76,89.77,652.0441764,97.94,96.85,99.43,85.34
201609,90.7,90.17,661.2374249,97.9,98.03,83.14,94.71
201610,89.83,90.1,661.789934,98.04,98.8,82.3,94.9
201611,90.7,90.2,657.1204864,97.96,98.11,82.31,94.84
201612,90.31,90.99,656.0225714,98.69,98.37,82.25,94.92
201613,92.84,92.8,665.5323013,97.53,98.4,92.24,101.62
201614,93.06,92.88,671.1967471,98.59,97.67,92.1,102.35
201615,93.65,93.64,670.4286891,98.22,98.09,92.6,102.4
201616,92.68,93.11,671.5124646,97.85,97.96,92.51,101.92
201617,92.89,92.76,659.8866235,98.65,98.57,91.86,104.25
201618,93.19,92.83,662.6477309,98.11,98.52,92.39,104.37
201619,93.74,92.88,661.3373398,99.09,98.34,92.34,104.22
201620,93.78,92.75,663.3396117,98.56,98.71,91.85,104.37
201621,90.93,90.87,664.4370052,99.34,100.08,107.78,118.81
201622,90.67,90.25,663.7729709,99.69,100.21,108.04,117.99
201623,91.13,90.75,670.7322135,99.53,100.77,107.03,118.93
201624,91.02,91.36,671.7220562,99.65,100.18,108.16,118.43
201625,88.75,88.84,671.4350102,99.46,100.87,121.55,115.01
201626,88.5,88.24,677.0851214,100.4,101.65,121.52,114.68
201627,88.48,88.1,669.8677044,100.18,100.89,121.59,115.35
201628,89.08,88.46,670.2878693,100.14,100.89,120.91,115.06
201629,92.49,90.87,680.8806128,100.26,101.98,110.66,104.08
201630,92.18,90.62,687.2686097,100.26,101.51,110.51,103.83
201631,92.32,91.74,681.7891469,100.63,101.43,110.88,104.03
201632,91.92,90.57,683.5171875,100.19,101.28,110.66,104.36
201633,91.15,90.41,693.0090559,101.29,102.5,99.23,104.45
201634,91.66,91.24,688.2836531,100.51,101.79,99.41,105.24
201635,92.22,91.18,695.1193136,100.8,101.87,99.61,105.02
201636,91.38,91.32,689.7034293,101.13,101.67,99.06,104.32
201701,89.57,87.93,693.9566468,101.81,103.46,108.99,106.12
201702,89.15,89.02,687.8883845,101.74,102.92,108.33,105.96
201703,89.65,88.35,688.8947047,101.2,102.71,108.53,105.35
201704,89.34,88.23,690.2986243,101.41,102.44,108.43,105.86
201705,89.49,88.39,683.2817375,101.89,101.22,75.19,103.27
201706,89.93,88.01,691.311143,101.92,101.77,75.44,103.36
201707,89.25,88.24,687.4250272,102.39,100.88,75.62,102.96
201708,89.29,88.9,689.5296491,102.2,100.72,75.8,103.33
201709,92.67,91.4,687.4478248,102.46,103.95,69.57,105.28
201710,91.56,91.05,692.2320275,101.78,102.96,69.61,104.9
201711,92.44,90.77,690.1589171,101.46,102.95,69.66,104.73
201712,92.1,91.21,691.407601,102.47,104.02,69.28,105.29
201713,93.27,91.94,685.4634809,102.16,106.44,78.34,108.67
201714,93.48,92.07,685.3596875,101.46,106.15,78.18,108.52
201715,93.33,92.59,687.1056299,101.27,105.91,78.26,108.68
201716,92.94,92.9,691.6587082,102.26,105.73,78.79,109.29
201717,93.24,92.26,686.0583369,102.56,107.05,97.6,119.39
201718,94.09,92.38,688.4060757,101.42,107.75,97.59,119.87
201719,93.7,92.19,687.8579838,101.46,107.81,97.42,119.71
201720,93.54,91.67,691.5609203,102.29,106.85,97.45,120.03
201721,89.32,87.88,679.5051673,102.67,105.84,117.42,109.45
201722,90.22,88.13,683.5214023,101.86,106.41,117.06,109.82
201723,89.62,88.91,676.3297468,102.8,106.1,116.97,109.52
201724,90.2,87.98,682.4477225,102.79,105.92,116.91,109
201725,91.15,89.97,679.6448452,102.92,106.67,112.87,101.9
201726,90.98,90.57,677.546234,102.41,106.18,112.46,101.52
201727,90.84,90.6,672.5502922,102.43,105.82,112.67,102.09
201728,91.68,90.6,681.0533301,101.96,105.9,112.42,101.57
201729,89.86,88.75,662.855868,102.76,106.06,105.5,98.56
201730,90.33,88.9,669.2240323,101.85,105.68,105.33,98.19
201731,89.5,89.22,669.0472395,102.2,105.69,105.04,98.4
201732,90.03,89.17,666.0552252,101.76,105.53,105,98.51
201733,92.65,90.82,659.9391167,102.19,105.19,91.26,91.09
201734,92.51,90.76,658.3029385,101.95,105.63,91.58,90.77
201735,91.73,90.79,656.674401,101.81,105.87,91.43,90.78
201736,92.09,91.53,656.6062195,102.12,105.09,91.69,91.26
201737,91,89.7,660.130056,101.75,107.6,99.73,97.03
201738,90.08,89.35,664.9225345,101.09,106.82,99.81,97.39
201739,91.32,89.37,663.5758325,102.03,107.06,99.77,97.4
201740,90.73,89.76,659.2938278,101.38,107.44,99.8,96.97
201741,91.46,90.9,658.9792728,100.97,105.93,87.64,107.16
201742,90.07,91.21,660.040566,100.65,105.36,87.87,107.82
201743,91.46,91.24,664.0579545,101.06,105.85,88.54,107.34
201744,91.16,90.67,664.8644899,100.28,105.88,88.04,107.63
201745,91.76,91.66,661.5917379,100.85,106.16,82.13,111.54
201746,92.63,92,656.6379291,100.23,105.95,82.33,110.98
201747,92.11,92.62,660.8914603,101.17,105.68,81.92,111.66
201748,91.73,91.71,660.1019006,100.88,105.62,82.46,111.09
